ID,Epic,User Story,Acceptance Criteria,Module,Priority,Status,Testable,source_file
US-WL-001,Watchlist Import,"As a Trader, I want to import a text file containing a watchlist of tickers so that I can quickly load external research.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-002,Watchlist Import,"As a Bot, I want to parse tickers from a manually uploaded .txt file so that they can be added to the combined watchlist.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-003,Watchlist Import,"As a System, I want to log every ticker added manually or via file with its source so that we can trace data origins.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-004,Watchlist Import,"As a Trader, I want to manually add one or more tickers from the Streamlit input field so that I can react to real-time info.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-005,Watchlist Import,"As a System, I want to store all watchlist sources in a unified data structure so that scoring and processing are centralized.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-006,Watchlist Import,"As a Bot, I want to reject duplicate tickers when merging multiple sources so that the watchlist remains clean.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-007,Watchlist Import,"As a System, I want to flag and skip invalid ticker formats during import so that errors are handled gracefully.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-008,Watchlist Import,"As a Bot, I want to label each ticker with its provenance: Manual, GPT, Jaguar, News, etc. so that we track where it came from.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-009,Watchlist Import,"As a UI User, I want to see the full list of tickers in the interface with their origin so that I understand the context of each trade.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-010,Watchlist Import,"As a Bot, I want to update the combined watchlist every 15 minutes based on sources so that the list stays up to date.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-011,Watchlist Import,"As a System, I want to alert the user if the uploaded file is malformed so that the user can correct it.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-012,Watchlist Import,"As a Bot, I want to merge tickers from manual, auto, and GPT sources into one list so that processing is unified.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-013,Watchlist Import,"As a Trader, I want to remove a ticker manually from the watchlist so that I exclude irrelevant trades.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
